"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 48";3268424.56449991;2099628.80655169;272353.566825178;1534554.20372289;2332412.73659035;1958868.62456043;463834.83318689;785012.678987361;422298.557994258;854734.455388242
"nephrops Group 49";2161620.33716607;1429371.95972844;185541.034549762;1042089.09991386;1583949.74117701;1330274.6131493;314991.876201665;518567.433545664;278959.353582065;565281.791757415
"nephrops Group 50";1293324.14680748;890448.062544392;115686.886304994;645691.358519098;981475.900754791;824289.079539703;195181.025880115;309883.819285585;166696.168103584;338208.134431535
"nephrops Group 51";706464.607002971;510359.35007614;66445.6740923352;367991.698407444;559383.692053223;469796.424219356;111241.735830284;168877.283886952;90842.7274828171;184739.312380791
"nephrops Group 52";345949.970301748;216845.438635477;28122.2597919717;160301.768958128;243642.639890908;204622.413263385;48451.9491160971;83026.350511109;44664.2724134257;90470.6218416011
"nephrops Group 53";132783.776941809;34890.5387243657;4423.60657674006;28441.851606024;43190.8051604696;36273.6456421631;8589.13158573289;33090.106208805;17811.4790674916;34744.8536643236
"nephrops Group 54";70772.7695667046;30004.2351138388;3854.33803474797;22407.0826885534;34039.0749550372;28587.597251744;6769.1744286589;17414.8398054479;9372.43168072;18515.7943598133
"nephrops Group 55";43088.7809638842;28440.5013511143;3688.04031869149;20294.1214418836;30843.4720872334;25903.7814347171;6133.68144756408;10406.417811329;5598.68966034965;11269.2848170234
"nephrops Group 56";3882.34842854651;2410.61199545404;313.820862919488;1679.99042950197;2553.59201374066;2144.62526171808;507.819609771237;977.183192280999;526.268603379034;1016.23395961148
"nephrops Group 57";1913.58046971072;1572.6291349297;205.587865219548;1095.61220900572;1665.54748674044;1398.8041924607;331.218796981204;460.529293006086;247.766233573385;500.433035820406
