"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 14";4400474.38578371;221780.067172942;26708.1516459676;215826.142506681;327058.908066885;274679.272388031;65040.5100630925;1177791.2552243;634653.452541329;1152669.14391393
"nephrops Group 15";4072768.45350195;220240.564049408;26605.6674726513;212618.45128209;322213.637871521;270609.989274318;64076.9562899737;1084617.04703984;584420.889094653;1066784.10963676
"nephrops Group 16";3749650.48290986;215543.983675936;26098.7126349891;206363.95143889;312739.357474928;262653.048241529;62192.8552480013;994579.181929079;535885.228966347;982112.804323924
"nephrops Group 17";3438459.63311552;211875.722885393;25722.3756780183;201181.767254711;304888.692727101;256059.695094718;60631.6342357042;908242.001160486;489343.405940576;900564.641962939
"nephrops Group 18";3130643.58559643;204949.879903581;24917.9589122544;193257.119186273;292868.38183681;245964.479316196;58241.2173042639;824445.102965998;444175.548316484;819909.619528054
"nephrops Group 19";2841542.39172091;203797.808882459;24848.0619901824;190591.579359516;288827.921098135;242571.112591005;57437.7118168684;745014.812706863;401355.703526208;744147.075375448
"nephrops Group 20";2560446.95667707;200163.127977051;24441.8616387594;185499.261797838;281099.072911663;236080.066654339;55900.7158328128;669106.319762507;360440.324291595;670493.866757194
"nephrops Group 21";2284175.66411831;187691.046743303;22919.1585413589;172496.477198429;261361.048409097;219503.156272087;51975.5171923826;595708.130428067;320893.006428337;598132.974490099
"nephrops Group 22";1988722.2913182;155210.490465631;18903.1972036668;142911.055148651;216478.368261693;181808.595379123;43049.9311961475;519138.255661087;279658.454520392;520788.32798755
"nephrops Group 23";1662758.00271168;104362.074098194;12611.1307914927;97696.329520536;147921.140603779;124231.049115912;29416.3106299392;437565.280578166;235756.227406114;435503.156551345
"nephrops Group 24";1361852.49527397;67184.5018982178;8063.52814974719;64476.2878299109;97583.6104885466;81955.2516836185;19405.9468903848;360902.548224984;194484.739665189;356752.89815236
"nephrops Group 25";1104781.59141729;43748.4219528744;5213.24233743631;42823.9179548561;64789.3980089537;54413.1477988012;12884.3318107125;294959.785172306;158977.559743035;289461.505447553
"nephrops Group 26";764749.389834415;19807.2320996462;2344.10213005974;19883.6665593438;30072.0244459273;25255.8838493803;5980.26765316819;208895.536677486;112642.554115802;200459.386211586
"nephrops Group 27";499297.398285565;6420.22030736748;755.617578448711;6845.88239213719;10349.2632241169;8691.79227972989;2058.10434227987;140015.534382792;75545.8660958489;130955.311419819
"nephrops Group 28";185971.44948639;1248.4026481959;141.596418689656;1358.28021369082;2050.87978093438;1722.42416301095;407.847833341315;54448.6617673914;29393.4959407789;48801.4106378287
"nephrops Group 29";113724.897092596;1538.28040856398;181.263236816642;1539.41831617547;2326.51727077323;1953.91733835145;462.662432453116;32204.7474736251;17381.8096848488;29836.1391955415
"nephrops Group 30";102702.55150863;1298.8399697485;153.109404489813;1294.36100105583;1955.43692559815;1642.26681700455;388.867607333599;28948.5496697115;15626.0073253182;26947.4488769449
"nephrops Group 31";25863.4984918362;256.262953779822;29.6887877370068;255.059848430735;385.109001063178;323.432438600579;76.5846312124139;7417.43758206869;4004.67873093167;6787.59685421952
"nephrops Group 32";10291.611235053;414.234932181863;50.4922377751574;358.186555472958;542.112115801102;455.290951716046;107.807026971041;2817.96944068097;1520.15309979085;2698.64787728922
"nephrops Group 33";7491.331409799;839.006900319643;105.270326607054;656.289321947889;994.938033395439;835.595204238708;197.858170430801;1985.32800273898;1070.26278540776;1963.03375356811
"nephrops Group 34";0;0;0;0;0;0;0;0;0;0
"nephrops Group 35";2471099.6397471;620124.378336907;78361.0087961929;516570.065094973;784245.793472116;658646.068372005;155958.896590671;612113.566723628;329446.706212352;646534.306088855
"nephrops Group 36";7737193.57272944;1956726.31172497;247289.258358003;1627177.13250174;2470355.55267012;2074719.41295784;491266.806131448;1916395.4938429;1031424.21916155;2024341.58382236
"nephrops Group 37";11518635.3454264;2955900.18219434;373722.98518522;2450172.45015053;3719819.11638708;3124076.98767018;739741.149697658;2851749.36242672;1534836.66769867;3013699.91956967
"nephrops Group 38";12629461.1631139;3246433.73202273;410361.111917056;2681011.0201585;4070079.28238713;3418241.75484334;809395.5736853;3127077.08515276;1683040.97981145;3304373.33202095
"nephrops Group 39";12482529.3364034;3040696.32884141;383463.646186541;2516562.74041258;3819904.12186774;3208133.02713068;759644.536046633;3097616.38708124;1667264.47227361;3266085.95932888
"nephrops Group 40";11557202.4127607;2368223.95496211;296456.95454814;1986844.61329751;3014979.53324523;2532119.94546024;599573.354632347;2892363.6710283;1556970.53154998;3024322.09012287
"nephrops Group 41";20812529.3082639;2858508.3073678;354293.505466663;2531308.64413578;3839599.89439324;3224674.45233876;763561.332255356;5278835.82574418;2842224.08137054;5447436.96473832
"nephrops Group 42";20210922.0053906;2523539.96088044;312320.372227741;2274545.82037171;3449987.62404958;2897459.95888867;686081.159219344;5138432.42395821;2766712.81797167;5290134.30858651
"nephrops Group 43";17745222.1272721;1994161.04328104;246555.183331818;1841366.12721733;2792923.83026599;2345627.24515599;555414.287785482;4517984.47930207;2432688.12494654;4644836.05512322
"nephrops Group 44";15202453.5152384;1739728.20320064;215177.756960471;1607594.41635918;2438416.81295093;2047895.77485879;484915.314486147;3865310.67380978;2081203.91926128;3979160.37415576
"nephrops Group 45";12193344.5329179;1302842.77823516;160793.768620573;1220648.79746186;1851431.36856357;1554918.11612548;368184.561215371;3106181.76609738;1672480.05471845;3191572.13403206
"nephrops Group 46";9514509.01868129;994523.062363205;122619.244382546;938702.441533712;1423797.43154291;1195771.25978839;283143.216374751;2424415.34111834;1305377.77748817;2490368.24095431
"nephrops Group 47";7333936.3558566;831305.752631048;102687.024876783;780207.150165731;1183542.31443393;993993.845606174;235364.926358446;1862421.49403575;1002722.96242779;1919501.3493471
"nephrops Group 48";5587974.11936258;754758.953949899;93681.5514743302;694165.419833883;1053239.6970166;884559.651154788;209452.320126524;1409744.1457987;758930.861093451;1462395.61525705
"nephrops Group 49";3983101.83301977;541448.12158417;67182.6256711039;500758.612279349;759816.035095836;638128.821815187;151100.677149706;1003729.94638453;540342.796707358;1042371.99087634
"nephrops Group 50";2735939.75006148;383109.126193191;47541.9895532393;354510.690959552;537945.804132749;451791.889530676;106978.494161484;688554.27296731;370660.282114348;715967.764238425
"nephrops Group 51";1776666.79367265;263076.877214919;32754.1198345902;243228.324064646;369104.996037282;309991.531328582;73401.9976737374;445238.718863096;239672.24367176;464921.944756674
"nephrops Group 52";965387.095233557;99027.4753311737;12212.0553130002;97540.2225364778;147973.267422232;124274.827640855;29426.6768201776;244453.001928627;131608.384392139;252661.380152299
"nephrops Group 53";300193.258646763;7194.88293251089;863.542342469447;7638.61632124692;11573.9546591623;9720.34506939833;2301.65238099882;82683.6413307707;44575.5106949308;78668.2496613126
"nephrops Group 54";182391.889203361;9939.84943524075;1216.13145778392;9485.02787766801;14380.1768965128;12077.1409349215;2859.71125408215;49028.8629955811;26425.7644571927;47786.1728738866
"nephrops Group 55";107943.123147116;12124.1529677872;1501.08508436028;10882.3387689872;16507.0263253399;13863.3679392312;3282.66677758687;27970.7927704348;15065.5169636391;28262.2278258
"nephrops Group 56";5997.89719633343;1180.49484362772;147.387466147694;991.126587611346;1503.93131028026;1263.07141570007;299.079025545083;1514.60004946801;815.464549068967;1569.73426551214
"nephrops Group 57";3704.41985524057;829.284329587682;104.546106091263;695.881896204732;1056.23958280128;887.079094668658;210.048891865602;920.953001419638;495.719043159852;969.316985674584
