"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 24";1131102.52842558;135315.65370945;16643.8994368103;116268.734321688;176198.384918944;147979.593191769;35039.6596599583;290266.171603929;156336.408118964;296148.960469273
"nephrops Group 25";932076.475166951;91517.9131783745;11199.5172928393;80013.1555479336;121219.792308973;101806.015764132;24106.3518744012;240589.408157414;129600.655934733;244076.739359583
"nephrops Group 26";670219.832510499;43468.3053782361;5288.32222702099;39127.3131161629;59256.5781315016;49766.4285054017;11784.0485955459;176293.185921326;95003.1072103427;175573.420828847
"nephrops Group 27";457744.681408326;15146.4291429021;1826.5465792084;14605.282889195;22106.2873754391;18565.8876175436;4396.16280442612;123063.137065416;66349.8783065608;119970.109359991
"nephrops Group 28";176655.335057898;3532.82355010776;417.574730394021;3486.73923507541;5272.32589565529;4427.94433996889;1048.4801270178;48681.4531379283;26257.4471732762;46317.2177797959
"nephrops Group 29";103184.54785227;3781.19103124458;455.863682104479;3450.37726185908;5219.44502659676;4383.53252827999;1037.96398264346;27917.4869346205;15055.5621898629;27048.914441814
"nephrops Group 30";87355.1593767643;3299.7012853851;397.295816358083;2988.40992389564;4518.93125696439;3795.20850531509;898.656439692232;23535.131649393;12692.094633823;22899.4228171738
"nephrops Group 31";21528.8125905526;706.470219902047;84.3312943258536;638.626904095149;965.278927150465;810.686108286542;191.960017680307;5846.83994720147;3153.4679072873;5644.24612605196
"nephrops Group 32";6909.59005214027;696.473705602689;86.3112244588317;561.987369804765;851.315988031605;714.974735123246;169.296798591151;1815.12855327549;978.337541206321;1810.30614553884
"nephrops Group 33";4031.2860645563;906.624672466568;115.189292240097;675.443923970035;1024.78426980564;860.661460801264;203.793536787451;1032.73519042904;556.337897617002;1055.63369918532
"nephrops Group 34";0;0;0;0;0;0;0;0;0;0
"nephrops Group 35";1909061.50416594;898977.474034116;115464.136865021;684199.578467398;1039380.87436084;872920.367743313;206696.287888381;463822.675451858;249557.432993714;499329.902171373
"nephrops Group 36";5975520.59398407;2831257.00722033;363713.099780262;2151894.27574037;3269011.3095988;2745467.63840235;650091.33747503;1451589.48935552;781018.884939509;1562941.00643463
"nephrops Group 37";8888421.08811514;4258277.41552535;547248.020563437;3228152.25167118;4904035.8513731;4118637.24300243;975240.194576109;2158396.23459746;1161309.70072378;2324826.91332052
"nephrops Group 38";9736228.258689;4666335.13546637;599690.807351572;3526862.53968266;5357680.37212618;4499628.99650572;1065454.12940363;2364141.86204967;1272023.3297546;2546604.03311611
"nephrops Group 39";9630210.05104137;4412167.90263119;566251.94345287;3341513.59338793;5075625.65949546;4262746.33919807;1009363.3704525;2341540.48627713;1259912.14423198;2518972.64733987
"nephrops Group 40";8974298.277358;3565726.354878;455602.653955736;2734620.73712676;4152901.25064047;3487799.49327045;825865.949286644;2193449.64684927;1180336.83152894;2347619.21334822
"nephrops Group 41";16423144.2289176;4573954.61561152;579692.017671956;3686357.92007677;5596251.9852837;4699992.52582181;1112897.62971388;4057261.96021283;2183690.93064309;4296974.60000198
"nephrops Group 42";16042145.0562935;4078754.7141041;515718.905234792;3341886.18140195;5072873.21222355;4260434.70604794;1008816.00552811;3975579.14605494;2139792.60223649;4197416.01332364
"nephrops Group 43";14177167.6704353;3280688.50981646;413834.402989301;2746549.34711067;4168972.88766265;3501297.2010364;829062.032449918;3521995.64413087;1895691.52060121;3709511.7402992
"nephrops Group 44";12150763.9961988;2875993.07799415;362723.690230329;2406887.5784397;3653519.81671934;3068395.7542795;726556.551569133;3015866.22526058;1623229.41468754;3179216.37381024
"nephrops Group 45";9774957.3702748;2203737.18761836;277435.88276436;1864070.58155459;2829565.31809569;2376400.4696976;562700.990575509;2429321.08631702;1307538.19636292;2557603.18725494
"nephrops Group 46";7654519.15066515;1708900.15694644;215028.229845133;1452286.57522107;2204585.75205013;1851513.58166435;438414.543235261;1902210.51537461;1023819.26974915;2002772.45159595
"nephrops Group 47";5934066.62811756;1425751.96170011;179755.563512955;1203538.90323198;1827218.28297066;1534582.84144289;363369.430367927;1470517.20077878;791432.056116944;1552548.15482143
"nephrops Group 48";4546931.08515804;1264198.68268413;160087.945331506;1047719.34725995;1590945.69929854;1336150.14394539;316383.126136712;1120874.07228749;603209.285030085;1189539.45326032
"nephrops Group 49";3252648.38349652;906856.434977606;114857.41026032;754672.160014572;1145986.83062964;962453.004763419;227896.46192574;801049.311169267;431086.457396907;850925.771088103
"nephrops Group 50";2195444.27949452;628950.842303442;79686.0897501167;522864.589058165;794012.004898133;666848.186651986;157901.052443531;540145.1241349;290673.065349141;574336.350880981
"nephrops Group 51";1365579.69187931;412603.560799305;52417.4106823279;341900.008614465;519225.157978561;436069.42077219;103255.616280628;334881.465759824;180208.565619257;357232.544132493
"nephrops Group 52";713991.610741451;161755.27882989;20405.0859792838;141075.286189059;214188.598571407;179885.540366858;42594.5765645813;176388.797811106;94930.1324970095;186799.544746775
"nephrops Group 53";236018.966471828;14283.8685439225;1763.69071663162;13840.1404711977;20989.3710896558;17627.849407514;4174.04745109575;61996.2822002694;33401.6299399894;61813.1820672194
"nephrops Group 54";136375.464254449;17328.8525350727;2169.26110240114;14983.6958097679;22731.6822436137;19091.1232956077;4520.53184074847;35202.3917206023;18961.3513334773;35708.0320093718
"nephrops Group 55";78316.5749568474;19275.4896508203;2437.26683078288;15674.6019104084;23792.5240031075;19982.0675121677;4731.49594364212;19635.7711893515;10570.5159917316;20494.7348303663
"nephrops Group 56";4736.30519339848;1799.64960988406;229.661872859394;1381.17716481813;2097.43449359473;1761.5229745228;417.105927778085;1173.35898340452;631.610929620573;1239.25956574776
"nephrops Group 57";2867.13098431558;1212.03929084971;155.392039229136;929.738657548573;1412.17165007085;1186.00738815266;280.831257464065;698.71292524205;375.974884464489;749.98940430003
