"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 29";75799.6575898267;8698.97593040563;1074.83644110277;7184.39183544027;10884.3030955855;9141.14363194418;2164.50494867244;19704.07982817;10617.5634975923;19853.9956657327
"nephrops Group 30";53912.8798614001;6834.91718449703;848.429976470119;5555.36769825808;8418.50392608929;7070.25088135222;1674.14424684931;13888.5358313324;7483.17007065939;14120.2987738172
"nephrops Group 31";12231.8610267121;1443.79799376924;176.42935753905;1170.10461919989;1770.29887066774;1486.77927342962;352.050161828338;3195.84022934679;1722.04190483804;3203.85933256037
"nephrops Group 32";3100.85047901886;793.624344788509;100.636066730378;593.255728890677;900.156958828539;755.993652481348;179.009549335;783.090843586307;421.74347931005;811.789733086432
"nephrops Group 33";1625.43621213153;753.847904279194;97.3435218684091;531.030841812245;806.54456991204;677.373617252616;160.393338697776;401.877095663264;216.340139736748;425.349303660306
"nephrops Group 34";0;0;0;0;0;0;0;0;0;0
"nephrops Group 35";1437107.86953628;1078911.02277594;140564.435022795;765348.06018994;1163402.94613494;977079.868049593;231359.914557185;343865.95431195;184974.857229175;375804.911339053
"nephrops Group 36";4497378.06618035;3387108.40143311;441275.344728161;2401020.93354007;3649745.4590653;3065225.87329301;725805.964623098;1076136.705642;578882.701708942;1176067.06143547
"nephrops Group 37";6688178.34186318;5063631.8868923;659824.422362536;3584576.42710373;5448856.24909226;4576202.73575168;1083585.80353651;1600039.82484342;860703.946787667;1748962.15571451
"nephrops Group 38";7324819.90208065;5524878.11616662;719696.657089202;3905265.61961828;5936017.9945316;4985343.81239588;1180465.13513424;1752816.31826323;942895.688135512;1915462.9399198
"nephrops Group 39";7254502.77731991;5269516.28575191;685093.974849958;3733646.622797;5674117.73700904;4765387.80324837;1128382.38821991;1739213.42420647;935607.269070762;1897133.47377654
"nephrops Group 40";6794174.03431113;4417353.34590891;570629.634404696;3165252.07781491;4807728.97452657;4037754.25157277;956088.145088435;1639568.43854729;882064.050635629;1776873.93691702
"nephrops Group 41";12754392.7325578;6301716.95094932;807928.900784433;4707059.99769707;7147163.54126497;6002520.13545965;1421319.3732462;3104103.46812802;1670180.80931707;3336078.83100792
"nephrops Group 42";12570033.0139069;5894272.62867721;755464.107646062;4450850.91515658;6759204.39478922;5676694.01226949;1344167.94838648;3060250.98059472;1646603.97769642;3287894.1007989
"nephrops Group 43";11140239.958772;4952022.93055521;634831.79644911;3790387.77731945;5757326.71828065;4835270.57319622;1144929.7270945;2711356.61621651;1458886.00972406;2913926.70141249
"nephrops Group 44";9472541.07462932;4350665.84987114;558450.703262005;3315918.93520164;5037249.74836189;4230516.46535149;1001731.75188869;2301951.4487086;1238574.28472194;2477660.58402665
"nephrops Group 45";7664699.03834917;3387351.93001755;434358.783821319;2600902.22616461;3951088.66765361;3318307.90601717;785732.526802609;1864728.86538936;1003332.13528061;2004811.56785038
"nephrops Group 46";6126948.82596411;2656440.53087109;340484.823898483;2049537.04141006;3113547.91029272;2614902.24987109;619175.136944752;1491258.83085837;802382.186973263;1602588.33091921
"nephrops Group 47";4847492.61273012;2194142.28616272;281638.013893626;1687019.2927841;2563071.36326743;2152586.46004199;509704.718884855;1177732.45279358;633667.234243434;1267889.30978877
"nephrops Group 48";3695152.97081859;1856357.26444106;239057.773540835;1408369.5207533;2139995.26780852;1797267.49089269;425569.76837459;894389.865913529;481192.230438784;966437.644875642
"nephrops Group 49";2554608.9347924;1297799.67963982;167109.960231162;985914.13883987;1498026.56636789;1258112.33731546;297904.779724591;618026.692317868;332501.556397678;668129.497802269
"nephrops Group 50";1613122.92385422;850506.377278361;109584.793644872;643406.989411659;977644.555573675;821071.337779246;194419.106119909;389832.22773955;209727.091033671;421885.011474361
"nephrops Group 51";924193.919243919;513570.043155397;66350.0229970854;386393.963138368;587166.153954477;493129.427026985;116766.69004586;222681.085379282;119798.532105903;241702.512877402
"nephrops Group 52";459026.773057365;209838.237214255;26943.0878419249;163563.903495222;248472.60541956;208678.842806647;49412.4593294635;111270.889054363;59866.3791041222;120057.510146963
"nephrops Group 53";163804.515279406;25101.3005588999;3115.98522125338;22006.7405005588;33347.4243582245;28006.7169332651;6631.62945895289;41944.6753231609;22584.6473634715;42874.9390208364
"nephrops Group 54";91381.7365596182;26217.3703634427;3323.42383458579;20620.7688088719;31292.9644481352;26281.2860113888;6223.06966388057;22876.438529826;12314.8123259224;23913.3376991402
"nephrops Group 55";53045.6522213988;26001.786753181;3338.37900225363;19334.1497289649;29365.1955072148;24662.2560538987;5839.70424527038;12971.7307000761;6980.03973656177;13875.7144947992
"nephrops Group 56";3789.14845656986;2247.941581391;289.704773566261;1611.31988912888;2446.92102037713;2055.03800352295;486.606502143904;942.33363155908;507.311664949035;991.484834617335
"nephrops Group 57";2177.21635607915;1474.39968077977;191.667063124634;1056.35546605607;1605.49356537127;1348.36811804453;319.276184868218;523.212982052411;281.480287191503;569.393425414208
