"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 39";11015271.2782037;3795070.05169874;483045.594550792;2993593.09215411;4545665.84025358;3817661.45095989;903973.007718863;2703709.65999379;1454989.30089618;2881666.0637669
"nephrops Group 40";10252086.617012;3037410.43848463;384161.229268512;2426032.987537;3682936.47051164;3093101.22739295;732406.489056876;2534322.77926834;1363970.30328973;2682277.64253802
"nephrops Group 41";18690506.7340816;3860933.24887015;484162.924230542;3239826.77541588;4916558.18016047;4129154.07674425;977730.445205032;4672544.46836393;2515240.03726094;4890969.99012711
"nephrops Group 42";18172025.6631077;3406152.85023028;426571.354243198;2906842.19398456;4411027.01439949;3704585.50712039;877198.082187543;4553842.13849109;2451429.04004712;4755459.71462606
"nephrops Group 43";16003457.3683088;2711573.38394615;339145.404828428;2366232.50828917;3590574.23570697;3015531.12969333;714038.890088942;4017774.73642508;2162898.23448815;4188053.23547012
"nephrops Group 44";13690744.5290636;2343266.14385704;293056.870720568;2048270.20297393;3108136.10464001;2610357.16394826;618098.919201304;3434631.12697157;1848933.71328514;3582749.39519432
"nephrops Group 45";11004840.0153206;1774585.05769692;221456.816941073;1570770.61057573;2383495.22587125;2001770.07332506;473993.343094967;2765558.60175944;1488767.44898385;2879891.03866456
"nephrops Group 46";8594393.94345438;1360758.0981306;169655.46311236;1212419.21724438;1839765.90186536;1545120.9149923;365864.710309428;2160220.13342775;1162886.82147495;2249071.35011298
"nephrops Group 47";6627032.66320278;1129053.12293764;141016.524415189;1000421.50222964;1518260.62841235;1275105.84308077;301928.622780262;1660714.29733427;893946.218716321;1734140.76556089
"nephrops Group 48";5053555.01677622;1007478.59067925;126397.05258897;876082.238701578;1329821.3796046;1116845.80345122;264454.685957065;1259103.15721627;677706.636759305;1322289.04821519
"nephrops Group 49";3617811.45961084;728095.557611883;91348.8172819954;635640.418582454;964887.627497263;810357.476650539;191882.201946186;900368.021458845;484609.590099833;946601.196730159
"nephrops Group 50";2473587.97154752;511213.754597999;64156.1545416626;446304.841152784;677516.981411312;569010.251347552;134734.290858657;614895.554093871;330948.970376171;647196.839095367
"nephrops Group 51";1579977.82607708;344230.878645472;43327.4859844493;299946.647903459;455359.320284665;382431.921852197;90554.9481234156;391323.295425433;210612.456419984;413379.389150991
"nephrops Group 52";847775.964554219;135128.6119626;16871.7918252968;124339.151479694;188711.998261628;158489.107298049;37528.1770935639;211789.88072406;114000.698913695;221836.415239885
"nephrops Group 53";276433.263989176;11425.5072382211;1387.84819468239;11577.3693339175;17550.5991363312;14739.8088901942;3490.19669418824;74159.0858022249;39964.62757754;72415.2263467702
